id	filename	md5	size	state
0078415c-a872-4998-b715-51ad952c72dc	TCGA-23-1809-01Z-00-DX1.A8767DEC-EB1A-4EDC-906E-C0560A30455F.svs	bbba95f91807549ec1b8a814842867dd	1744362619	validated
008b0fa9-3938-4edd-b789-c26f59cad157	TCGA-25-1628-01Z-00-DX1.8275623E-8A30-4ABB-8846-34DAEE43523E.svs	beda06aaf986423b5f2a040d9f286aac	2597671096	validated
05d84b64-0c3e-4473-bed7-12d6c1db80fb	TCGA-23-1118-01Z-00-DX1.D69E130E-33C7-4F8A-99AF-400B81378578.svs	f4c73a8f7a15f420caeb8bceb9e8c68c	1437585949	validated
05f6e839-ba43-4a79-b6f6-69f0e0b2febc	TCGA-25-1328-01Z-00-DX1.A0145C96-19A9-4F2D-8570-ECF039F99405.svs	05e4e242dea3e53c75f42acd59037a61	1788544134	validated
078c356c-fe85-4bd0-b35f-0f193f993611	TCGA-25-2401-01Z-00-DX1.AEA99982-DB6B-4178-BEDC-6E1F605B8D7C.svs	a99fa49d0c8770d6fc056ee3971013bc	2229177980	validated
0a51d579-d653-4e4a-ba25-c26306ae8a5d	TCGA-25-1623-01Z-00-DX1.28D89405-5F27-47CF-ABC7-01AB494C28D2.svs	6dc8f11e33901053a77c0efa059ff4da	3626573712	validated
0fb1f946-d8a4-4e63-8cef-1ab87396fde1	TCGA-25-1321-01Z-00-DX1.56C898D8-14CE-4C2D-B5C9-AC33FF91FE68.svs	8b0b97386b902e130b5d49c9a340ed60	2920456238	validated
0ffa4e00-64cb-4aca-ab8b-429748fb5892	TCGA-23-1119-01Z-00-DX1.44D3D70A-A421-4962-8385-2A3CF8E9880A.svs	e286642e25c43a5a53bb1cb44eb8bbe8	2679787667	validated
10ba2a6b-c8a7-4857-9e1b-06cee2eac8f2	TCGA-57-1994-01Z-00-DX1.A0798185-30C5-4C32-B1A8-B440D4F4ED95.svs	cedd220ef9e4f9ab5a73fe5ff3afff68	93340338	validated
12d3b779-76ed-4f16-a579-c414c6474f19	TCGA-25-2392-01Z-00-DX1.C37932E5-973F-444D-8CEB-1BED4279165E.svs	40ac078e14f61be15316693aa14fb5d7	2195886372	validated
1a10e339-c6ae-4e35-b283-1dfa27ef7100	TCGA-WR-A838-01Z-00-DX1.5FE22DE4-CEFB-45F6-9299-505023A8F3BA.svs	8e398993f4dfac7d4fb56808fe1e8408	997188345	validated
1b8f3c4b-36b8-4e57-a4a4-64be551e6be9	TCGA-25-1625-01Z-00-DX1.64A0B073-8EC8-4BE1-BECA-B956A6A96FCC.svs	e303d4f3d6af8a664a005b4bd0af381a	2433855706	validated
1eae8100-2206-4d48-940e-1962691ffbd0	TCGA-25-1314-01Z-00-DX1.E01C2237-E2D6-4D84-9FB4-624734F30375.svs	fba28748debc6913d114f2501c2d34b5	2993836380	validated
21434295-cdf6-4c67-9ca0-6fb120c1aaa3	TCGA-25-1325-01Z-00-DX1.FA0DD977-D2F2-4319-B614-3EB20E966D97.svs	5e8c5c5039edfc95b4db5b90c9f0fbaa	3408033806	validated
2207f8b4-0240-4c40-bca9-a44cf6f08db8	TCGA-25-2391-01Z-00-DX1.3930615C-785B-48D4-BD69-FD87932A518A.svs	a8eea2d1c9797b2b7b2c3f929694a85b	2179256044	validated
26a1ba84-ab27-4e28-ae18-dfc2b3602c56	TCGA-25-1627-01Z-00-DX1.7596F7F5-D705-46B4-B3A6-833D31482D28.svs	da9b50c8509438a10000b29107501ee8	1928378328	validated
29720b74-4c8e-44c0-af34-b498cff09f82	TCGA-42-2588-01Z-00-DX1.e0bd9f78-2078-4bc3-867b-136d117f7b13.svs	c6f5734281d5ffd49b25386025a97184	252398217	validated
2de8cb0e-0971-46a0-8c20-0a532dae2fda	TCGA-23-1022-01Z-00-DX1.AF9E523E-CB0F-4AB5-AD43-C96731BF9141.svs	43245d29464c071d28e9584d22f8a004	1368851883	validated
311ca86b-adca-4f8f-84fd-56cb83fc3f85	TCGA-25-1635-01Z-00-DX1.D21D2855-43F0-4766-934A-3CE1E3A099B9.svs	8dac7d66a4a5c2d61aadc4e992cfed0e	3257709758	validated
38047024-204f-472e-a674-a7fce37ec05d	TCGA-23-1113-01Z-00-DX1.D72B1587-444A-4DEC-8D92-703699822BE2.svs	614c9505117433a2a540639077415545	988224639	validated
3bf51b4e-7c99-4dcd-9859-55add0d5d276	TCGA-OY-A56Q-01Z-00-DX1.F1556F26-8845-4962-9004-70F9747B46B7.svs	b09fd2206efe9d0c28fb81a0d3308397	912585610	validated
3faa5bc5-c777-4592-878c-323528b8aa3a	TCGA-57-1993-01Z-00-DX1.464F641B-AA9F-49A7-A224-88D9847159DF.svs	bf8bdf883603d44bad122d3bf24f5c35	152037448	validated
408db121-e1af-497f-a9ad-12b2ead83bc0	TCGA-23-2649-01Z-00-DX1.C94C3B32-D5F5-4A85-9F35-50B377FF9E75.svs	7102f5a08312bd099162fa0a94d015a8	1158200527	validated
